mikrobioloogia ja viroloogia praktikum,LTMR.03.003
inglise keel korpus ja tema uurimine,FLGR.01.378
tuutorite väljaõpe,P2OO.00.007
tasakaaluline protsess keskkond,LOKT.04.068
kaasaegne uurimismeetod neurobioloogia i,ARFS.01.036
analüütiline keemia praktikum i,LOKT.06.028
visuaalprogrammeerimine,P2NC.01.084
ettevõtlus,SVMJ.02.013
koomiks,HVVK.14.055
objektorienteeritud programmeerimine,LTAT.03.003
praktiline kooslus ökoloogia,LTOM.01.001
kõrgem matemaatika ( jätk ),LTMS.00.006
äristrateegia,SVMJ.03.011
sissejuhatus suuline tõlge,HVLC.07.013
segakoor 2018 / 2019,HVVK.12.023
suhtlemis ja koostööoskus,SVUH.00.058
induktiivne risk filosoofia,FLFI.03.104
soome keel grammatika i,FLEE.06.183
paleontoloogia,LOOM.03.122
biokeemia alune ii,LTKT.10.002
kliiniline mikrobioloogia,ARMB.01.053
uurimistöö seminar ii,MVFA.00.012
tootekujundus alune,HVVK.01.007
silmuskudumine i,P2VK.01.283
poliitiline areng ida ja kagu - aasias,SVJS.00.002
lugemisseminar,HVEE.01.010
farmaatsia teadusseminar iii,ARFA.02.148
teadustöö,LOLO.00.084
akadeemiline enesejuhtimine,SVPC.00.004
taimefüsioloogia,LTMR.07.001
keeleoskus ja see määratlemine,HVEE.05.018
hackathon ’ ide osalemine,MTAT.03.324
magistritöö,HVKU.04.013
keemiline andmed analüüs,LTKT.06.002
psühhiaatria,ARPS.01.050
lepinguõigus,P2OG.01.089
endokrinoloogia,ARSK.01.030
üldkirurgia,ARKI.01.010
lahus,LOKT.01.017
praktiline õigusabi osutamine i,OIAO.02.037
üldine teatriajalugu i . antiik romantism,FLKU.05.150
teadusartikkel publitseerimine sotsiaalteadus,SHUH.00.002
sissejuhatus majandusteooria,MJRI.09.027
filosoofiline lahkarvamus,HVFI.01.003
akadeemiline väljendusoskus,HVLC.10.009
võõrkeel õpetamine pidev praktika,FLGR.00.063
multimeedia ja kunst semiootiline analüüs,FLSE.00.273
"erialane vene keel stomatoloogia tudeng ( 100%e - õpe ) , tase a2 . 1 > a2 . 2",HVLC.05.010
ettevõtlus alune i,MJJV.11.001
bakalaureuseseminar,MJ00.00.024
eesti keel ja kirjandus õpetaja põhipraktika,FLEE.02.169
teaduslugu religioosne aspekt,USUS.02.076
patoloogiline füsioloogia,ARMP.03.015
kriminaalmenetlus,OIAO.03.027
bordeaux ’ seminar 2,HVLC.04.035
sissejuhatus filmikunst,HVVK.04.019
taim stress,LTOM.01.004
